"","baseMean","log2FoldChange","lfcSE","pvalue","padj","symbol","entrez"
"ENSG00000221866",847.493946021912,2.72196017189434,0.183999098262701,8.9829259933999e-52,3.8485421506009e-49,"PLXNA4","91584"
"ENSG00000100242",2236.2383212374,1.84424681162809,0.123778362882737,1.2026243351779e-51,5.03256332260258e-49,"SUN2","25777"
"ENSG00000145685",2018.16368824202,-1.23130817121678,0.0822560172690869,1.31905102760532e-51,5.39431913425684e-49,"LHFPL2","10184"
"ENSG00000134686",2737.98198594824,1.37632256536204,0.0922045406071614,1.40673059250042e-51,5.62504672921167e-49,"PHC2","1912"
"ENSG00000172986",756.366829107728,-1.55825760360589,0.10465874111309,2.06907801927897e-51,8.09369345193604e-49,"GXYLT2","727936"
"ENSG00000102804",5397.33684521952,1.19257772971377,0.080109794406625,3.6494659548636e-51,1.39720192323012e-48,"TSC22D1","8848"
"ENSG00000060718",363.762294004358,2.40632929828463,0.162859209771406,6.35458118259429e-51,2.38217362082503e-48,"COL11A1","1301"
"ENSG00000099337",530.060485021926,2.69506435683672,0.183095358343311,7.90012453602106e-51,2.90111920206455e-48,"KCNK6","9424"
"ENSG00000126803",449.17684817333,2.43557611899008,0.165643662250573,1.50551446085358e-50,5.41804544171988e-48,"HSPA2","3306"
"ENSG00000157150",167.615505683076,2.91982382815587,0.198117453039288,2.12411217197398e-50,7.49436753382348e-48,"TIMP4","7079"
"ENSG00000133142",3055.97384805426,1.52575210534088,0.104166943209746,7.12697293074613e-50,2.46620674838165e-47,"TCEAL4","79921"
"ENSG00000138316",799.568584106461,-2.4851265685004,0.171336211411888,9.33975160667285e-50,3.17093378132965e-47,"ADAMTS14","140766"
"ENSG00000103196",3082.06913512982,2.60720343376773,0.182762275004564,1.41599303482495e-48,4.71840345715559e-46,"CRISPLD2","83716"
"ENSG00000131389",740.410803126942,-2.10418808472003,0.146498388681638,1.78032716818869e-48,5.82458310261588e-46,"SLC6A6","6533"
"ENSG00000152268",1597.83892249109,1.8959081224847,0.132115051302545,3.03455533777005e-48,9.75067656211327e-46,NA,NA
"ENSG00000168309",159.526919764023,4.7915927760731,0.332415220028332,3.83044890321569e-48,1.20921223797304e-45,"FAM107A","11170"
"ENSG00000163171",1357.57154103081,1.49237737381706,0.103789689337402,4.10709360487689e-48,1.2741903849337e-45,"CDC42EP3","10602"
"ENSG00000124440",197.043622803841,2.5066557492138,0.174864404713119,9.45967605363341e-48,2.88504086286575e-45,"HIF3A","64344"
"ENSG00000141401",627.527233035192,2.30428125850535,0.162296120741545,1.86900465033434e-47,5.60514494635267e-45,"IMPA2","3613"
"ENSG00000103742",370.82982255279,-2.17718122053503,0.153077494826462,2.77238683111337e-47,8.17808666213998e-45,"IGDCC4","57722"
"ENSG00000112837",2754.96812806571,-1.81669943696935,0.128395858635996,5.27116650000358e-47,1.52982854840427e-44,"TBX18","9096"
"ENSG00000164647",1920.71012986285,1.5528647809555,0.110007185388024,1.44747028382687e-46,4.13425083923503e-44,"STEAP1","26872"
"ENSG00000068383",1247.24185187194,1.36966802135802,0.0974192241924159,5.79810565700684e-46,1.63017364362783e-43,"INPP5A","3632"
"ENSG00000156675",1631.87785808313,1.53305287945327,0.110067758352818,2.24189262787706e-45,6.20624860707996e-43,"RAB11FIP1","80223"
"ENSG00000136999",435.712716722131,-2.52575311365542,0.184828282352552,2.50867533074603e-44,6.8395611971885e-42,"NOV","4856"
"ENSG00000206538",12754.9476812811,1.35415180918423,0.0985139925184405,3.30689947970942e-44,8.88124615490915e-42,"VGLL3","389136"
"ENSG00000227051",4615.74006753287,-1.14076039354996,0.0830797024532045,5.62374305033496e-44,1.48814165364305e-41,"C14orf132","56967"
"ENSG00000134363",2906.3410530882,-1.7886574423728,0.131964587703833,1.91876050003967e-43,5.00379368662518e-41,"FST","10468"
"ENSG00000196517",229.640742740425,-2.20658972805703,0.162220587932928,1.98051624536731e-43,5.09105847416277e-41,"SLC6A9","6536"
"ENSG00000124762",8020.52881680403,-0.999990657270124,0.0733341295287403,3.10765149440132e-43,7.87592690003624e-41,"CDKN1A","1026"
"ENSG00000149218",2027.18573134681,1.90637409492593,0.141651376736491,6.2574834795899e-43,1.56384941294084e-40,"ENDOD1","23052"
"ENSG00000109906",385.071028862516,7.27319181990199,0.543825012898596,9.14198752722158e-43,2.25343730910719e-40,"ZBTB16","7704"
"ENSG00000185432",3885.6492404017,2.22695128456511,0.166688333582321,1.25130304269397e-42,3.04269553381559e-40,"METTL7A","25840"
"ENSG00000163378",1805.28931002148,1.24975579997922,0.0928330703161828,1.99603451275211e-42,4.78888600299486e-40,"EOGT","285203"
"ENSG00000167641",231.671616289766,2.86599013794182,0.215241999372731,2.81917041534148e-42,6.67475690179666e-40,"PPP1R14A","94274"
"ENSG00000196975",4908.8181516426,1.17391177174641,0.0875497991431652,4.24429868641652e-42,9.91842994329596e-40,"ANXA4","307"
"ENSG00000106484",677.213238740759,-1.84399683584414,0.13828846565618,5.72607861481504e-42,1.32096228967925e-39,"MEST","4232"
"ENSG00000126016",386.415162103212,-2.34843536931312,0.177012302626944,7.52368016762439e-42,1.71368482197764e-39,"AMOT","154796"
"ENSG00000151726",1460.17800298032,1.58351030638207,0.119120677982723,9.49654899365653e-42,2.1360112823982e-39,"ACSL1","2180"
"ENSG00000150907",678.868174958036,2.20354815380386,0.166674171191131,1.34747384957573e-41,2.99338820361306e-39,"FOXO1","2308"
"ENSG00000130513",451.004765299293,-1.84857968183054,0.139505818248615,1.92847880164138e-41,4.23183506789451e-39,"GDF15","9518"
"ENSG00000221869",1963.57429862035,1.48565152401741,0.111974827127053,1.98533659501247e-41,4.30411405911499e-39,"CEBPD","1052"
"ENSG00000169715",554.194641254197,2.20076688796086,0.168781507660705,1.29789249239172e-40,2.78027113191627e-38,"MT1E","4493"
"ENSG00000147027",12593.3295910107,1.15248119059627,0.0877160534631346,1.43633497417266e-40,3.04063665003092e-38,"TMEM47","83604"
"ENSG00000145390",8442.05371962528,2.12298429121779,0.1638625841143,2.20793159943395e-40,4.6197117674668e-38,"USP53","54532"
"ENSG00000185950",1974.88307917017,2.10165024260699,0.162168613535404,3.13538975898167e-40,6.48485095668003e-38,"IRS2","8660"
"ENSG00000013293",244.497326184804,-2.84874060006753,0.220820505743357,9.41315436990153e-40,1.92477613331827e-37,"SLC7A14","57709"
"ENSG00000131831",1017.17597249954,1.4134455097535,0.109196178860536,1.99073784174468e-39,4.02486929487121e-37,"RAI2","10742"
"ENSG00000146122",1942.41443351691,1.66287094878832,0.130074287613098,7.07265979636358e-39,1.41406044861963e-36,"DAAM2","23500"
"ENSG00000137672",655.449436784439,1.93131713149765,0.151396380343945,8.39922520894894e-39,1.660831411097e-36,"TRPC6","7225"
"ENSG00000020577",3105.00555637675,1.19116315503861,0.0929122740752862,1.03649957486645e-38,2.02725797284206e-36,"SAMD4A","23034"
"ENSG00000119138",1683.2682077277,2.05869834815125,0.162712048837571,1.67669254335888e-38,3.24412963711825e-36,"KLF9","687"
"ENSG00000138735",6850.26951693182,-1.16595916974134,0.0913713586332734,1.93892934864435e-38,3.71160581909644e-36,"PDE5A","8654"
"ENSG00000163110",1314.18432532042,1.58782938886442,0.12488856822534,2.18937630581167e-38,4.14690918387107e-36,"PDLIM5","10611"
"ENSG00000071282",3659.86884296353,1.58706759105461,0.125769711822771,5.99693269891498e-38,1.12405007275288e-35,"LMCD1","29995"
"ENSG00000101825",4767.14944686345,-1.30685217613367,0.1038384462823,1.14576054067024e-37,2.12544486276498e-35,"MXRA5","25878"
"ENSG00000162407",25853.6620173955,-0.991248221702839,0.0785640104873422,1.72343203415425e-37,3.16443224720118e-35,"PLPP3","8613"
"ENSG00000163513",13216.6476019075,1.44052132249366,0.115659951648179,4.80852299573231e-37,8.7398548267886e-35,"TGFBR2","7048"
"ENSG00000246430",2162.53881470905,2.03173297317702,0.163711531483648,5.58980272489227e-37,1.00582910231712e-34,"LINC00968","100507632"
